Time,SumPopulation,HerbPopulation,CarnPopulation,OmniPopulation,FPS
915,58,58,0,0,59
916,59,59,0,0,58
917,59,59,0,0,55
918,59,59,0,0,65
919,58,58,0,0,52
920,58,58,0,0,53
921,58,58,0,0,53
922,56,56,0,0,49
923,56,56,0,0,46
924,56,56,0,0,56
925,56,56,0,0,58
926,56,56,0,0,59
927,56,56,0,0,55
928,56,56,0,0,57
929,57,57,0,0,53
930,57,57,0,0,57
931,57,57,0,0,56
932,57,57,0,0,51
933,59,59,0,0,52
934,59,59,0,0,50
935,59,59,0,0,54
936,60,60,0,0,51
937,61,61,0,0,53
938,60,60,0,0,55
939,60,60,0,0,51
940,60,60,0,0,56
941,58,58,0,0,54
942,59,59,0,0,52
943,59,59,0,0,57
944,59,59,0,0,54
945,60,60,0,0,54
946,60,60,0,0,52
947,61,61,0,0,44
948,60,60,0,0,50
949,60,60,0,0,53
950,60,60,0,0,41
951,60,60,0,0,52
952,62,62,0,0,55
953,62,62,0,0,59
954,62,62,0,0,51
955,62,62,0,0,53
956,62,62,0,0,46
957,62,62,0,0,45
958,62,62,0,0,39
959,62,62,0,0,41
960,62,62,0,0,41
961,62,62,0,0,41
962,63,63,0,0,45
963,64,64,0,0,43
964,65,65,0,0,33
965,64,64,0,0,48
966,64,64,0,0,51
967,67,67,0,0,52
968,67,67,0,0,52
969,69,69,0,0,34
970,71,71,0,0,46
971,71,71,0,0,48
972,70,70,0,0,46
973,71,71,0,0,46
974,70,70,0,0,47
975,70,70,0,0,49
976,72,72,0,0,36
977,72,72,0,0,50
978,73,73,0,0,39
979,74,74,0,0,42
980,72,72,0,0,49
981,72,72,0,0,48
982,72,72,0,0,46
983,72,72,0,0,47
984,72,72,0,0,45
985,72,72,0,0,49
986,72,72,0,0,48
987,72,72,0,0,15
988,72,72,0,0,38
989,72,72,0,0,42
990,71,71,0,0,39
991,72,72,0,0,41
992,72,72,0,0,44
993,72,72,0,0,50
994,72,72,0,0,20
995,72,72,0,0,44
996,73,73,0,0,35
997,75,75,0,0,47
998,77,77,0,0,47
999,78,78,0,0,31
1000,78,78,0,0,44
1001,78,78,0,0,45
1002,79,79,0,0,45
1003,79,79,0,0,45
1004,79,79,0,0,43
1005,78,78,0,0,44
1006,78,78,0,0,45
1007,78,78,0,0,43
1008,78,78,0,0,46
1009,78,78,0,0,46
1010,79,79,0,0,33
1011,79,79,0,0,43
1012,81,81,0,0,42
1013,80,80,0,0,30
1014,80,80,0,0,44
1015,80,80,0,0,44
1016,81,81,0,0,43
1017,80,80,0,0,45
1018,80,80,0,0,38
1019,81,81,0,0,44
1020,81,81,0,0,33
1021,82,82,0,0,30
1022,81,81,0,0,42
1023,81,81,0,0,41
1024,79,79,0,0,43
1025,80,80,0,0,42
1026,79,79,0,0,43
1027,78,78,0,0,45
1028,78,78,0,0,45
1029,79,79,0,0,41
1030,79,79,0,0,45
1031,80,80,0,0,45
1032,81,81,0,0,43
1033,80,80,0,0,42
1034,81,81,0,0,45
1035,81,81,0,0,46
1036,81,81,0,0,39
1037,81,81,0,0,43
1038,83,83,0,0,45
1039,83,83,0,0,43
1040,84,84,0,0,46
1041,83,83,0,0,43
1042,83,83,0,0,43
1043,84,84,0,0,45
1044,81,81,0,0,43
1045,79,79,0,0,44
1046,79,79,0,0,15
1047,78,78,0,0,46
1048,78,78,0,0,46
1049,78,78,0,0,44
1050,77,77,0,0,47
1051,79,79,0,0,39
1052,81,81,0,0,39
1053,81,81,0,0,43
1054,80,80,0,0,42
1055,79,79,0,0,44
1056,80,80,0,0,47
1057,80,80,0,0,49
1058,79,79,0,0,41
1059,78,78,0,0,46
1060,80,80,0,0,43
1061,79,79,0,0,45
1062,77,77,0,0,44
1063,77,77,0,0,46
1064,76,76,0,0,47
1065,75,75,0,0,47
1066,76,76,0,0,45
1067,75,75,0,0,46
1068,77,77,0,0,45
1069,78,78,0,0,42
1070,77,77,0,0,45
1071,78,78,0,0,45
1072,78,78,0,0,48
1073,78,78,0,0,45
1074,78,78,0,0,47
1075,79,79,0,0,45
1076,79,79,0,0,43
1077,79,79,0,0,47
1078,79,79,0,0,45
1079,80,80,0,0,43
1080,80,80,0,0,46
1081,80,80,0,0,44
1082,82,82,0,0,45
1083,83,83,0,0,34
1084,82,82,0,0,45
1085,82,82,0,0,37
1086,82,82,0,0,38
1087,83,83,0,0,40
1088,85,85,0,0,41
1089,85,85,0,0,42
1090,87,87,0,0,38
1091,87,87,0,0,14
1092,87,87,0,0,43
1093,86,86,0,0,43
1094,86,86,0,0,40
1095,86,86,0,0,44
1096,85,85,0,0,44
1097,87,87,0,0,41
1098,87,87,0,0,43
1099,86,86,0,0,43
1100,86,86,0,0,43
1101,85,85,0,0,43
1102,86,86,0,0,41
1103,85,85,0,0,43
1104,83,83,0,0,41
1105,84,84,0,0,44
1106,84,84,0,0,43
1107,84,84,0,0,41
1108,85,85,0,0,43
1109,85,85,0,0,42
1110,86,86,0,0,42
1111,84,84,0,0,43
1112,82,82,0,0,42
1113,83,83,0,0,42
1114,82,82,0,0,21
1115,83,83,0,0,43
1116,81,81,0,0,42
1117,81,81,0,0,41
1118,78,78,0,0,41
1119,78,78,0,0,44
1120,78,78,0,0,45
1121,77,77,0,0,46
1122,75,75,0,0,44
1123,77,77,0,0,45
1124,76,76,0,0,45
1125,75,75,0,0,47
1126,75,75,0,0,41
1127,75,75,0,0,43
1128,74,74,0,0,48
1129,74,74,0,0,46
